問題,圖片,,課本選單,
一󠇡樣,https://jojochuang.github.io/Words-picture/一樣.JPEG,,美洲一,https://docs.google.com/spreadsheets/d/1264gdkuMnIn2k5L5KM69yumBfJFdYVhxzzsC-2R5Q2U/edit?gid=0#gid=0
一󠇢本,https://jojochuang.github.io/Words-picture/一本.JPEG,,美洲二,https://docs.google.com/spreadsheets/d/1264gdkuMnIn2k5L5KM69yumBfJFdYVhxzzsC-2R5Q2U/edit?gid=433074709#gid=433074709
二號,https://jojochuang.github.io/Words-picture/二號.JPEG,,,
二樓,https://jojochuang.github.io/Words-picture/二樓.JPEG,,,
三個󠇡,https://jojochuang.github.io/Words-picture/三個.JPEG,,,
三角形,https://jojochuang.github.io/Words-picture/三角形.JPEG,,,
四個󠇡,https://jojochuang.github.io/Words-picture/四個.JPEG,,,
五月,https://jojochuang.github.io/Words-picture/五月.JPEG,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
六歲,https://jojochuang.github.io/Words-picture/六歲.JPEG,,,
七天,https://jojochuang.github.io/Words-picture/七天.JPEG,,,
八點鐘,https://jojochuang.github.io/Words-picture/八點鐘.JPEG,,,
九十九,https://jojochuang.github.io/Words-picture/九十九.JPEG,,,
十分鐘,https://jojochuang.github.io/Words-picture/十分鐘.JPEG,,,
一󠇢百分,https://jojochuang.github.io/Words-picture/一百分.JPEG,,,
一󠇢千元,https://jojochuang.github.io/Words-picture/一千元.JPEG,,,
七根,https://jojochuang.github.io/Words-picture/七根.JPEG,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
上面,https://jojochuang.github.io/Words-picture/上面.JPEG,,,
中間,https://jojochuang.github.io/Words-picture/中間.JPEG,,,
上學,https://jojochuang.github.io/Words-picture/上學.JPEG,,,
小孩,https://jojochuang.github.io/Words-picture/小孩.JPEG,,,
洗手,https://jojochuang.github.io/Words-picture/洗手.JPEG,,,
手機,https://jojochuang.github.io/Words-picture/手機.JPEG,,,
力氣,https://jojochuang.github.io/Words-picture/力氣.JPEG,,,
用力,https://jojochuang.github.io/Words-picture/用力.JPEG,,,
中文,,,,
下面,,,,
下午,,,,
大家,,,,
很大,,,,
小學,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
筆尖,https://jojochuang.github.io/Words-picture/筆尖.JPEG,,,
工具,https://jojochuang.github.io/Words-picture/工具.JPEG,,,
口香糖,https://jojochuang.github.io/Words-picture/口香糖.JPEG,,,
不󠇡要,https://jojochuang.github.io/Words-picture/不要.JPEG,,,
左手,https://jojochuang.github.io/Words-picture/左手.JPEG,,,
右手,https://jojochuang.github.io/Words-picture/右手.JPEG,,,
左邊,https://jojochuang.github.io/Words-picture/左邊.JPEG,,,
